company,date,open,high,low,close
AAPL,2020-10-21,116.67,118.71,116.45,116.87
AAPL,2020-10-22,117.45,118.04,114.59,115.75
AAPL,2020-10-23,116.39,116.55,114.28,115.04
AAPL,2020-10-26,114.01,116.55,112.88,115.05
AAPL,2020-10-27,115.49,117.28,114.54,116.6
AAPL,2020-10-28,115.05,115.43,111.1,111.2
AAPL,2020-10-29,112.37,116.93,112.2,115.32
AAPL,2020-10-30,111.06,111.99,107.72,108.86
AAPL,2020-11-02,109.11,110.68,107.32,108.77
AAPL,2020-11-03,109.66,111.49,108.73,110.44
AAPL,2020-11-04,114.14,115.59,112.35,114.95
AAPL,2020-11-05,117.95,119.62,116.87,119.03
AAPL,2020-11-06,118.32,119.2,116.13,118.69
AAPL,2020-11-09,120.5,121.99,116.05,116.32
AAPL,2020-11-10,115.55,117.59,114.13,115.97
AAPL,2020-11-11,117.19,119.63,116.44,119.49
AAPL,2020-11-12,119.62,120.53,118.57,119.21
AAPL,2020-11-13,119.44,119.67,117.87,119.26
AAPL,2020-11-16,118.92,120.99,118.15,120.3
AAPL,2020-11-17,119.55,120.67,118.96,119.39
AAPL,2020-11-18,118.61,119.82,118,118.03
AAPL,2020-11-19,117.59,119.06,116.81,118.64
AAPL,2020-11-20,118.64,118.77,117.29,117.34
AAPL,2020-11-23,117.18,117.62,113.75,113.85
AAPL,2020-11-24,113.91,115.85,112.59,115.17
MSFT,2020-10-21,213.12,216.92,213.12,214.8
MSFT,2020-10-22,213.93,216.06,211.7,214.89
MSFT,2020-10-23,215.03,216.28,213.16,216.23
MSFT,2020-10-26,213.85,216.34,208.1,210.08
MSFT,2020-10-27,211.59,214.67,210.33,213.25
MSFT,2020-10-28,207.67,208.84,202.1,202.68
MSFT,2020-10-29,204.07,207.36,203.37,204.72
MSFT,2020-10-30,203.5,204.29,199.62,202.47
MSFT,2020-11-02,204.29,205.28,200.12,202.33
MSFT,2020-11-03,203.89,208.12,203.12,206.43
MSFT,2020-11-04,214.02,218.32,212.42,216.39
MSFT,2020-11-05,222.04,224.12,221.15,223.29
MSFT,2020-11-06,222.26,224.36,218.03,223.72
MSFT,2020-11-09,224.44,228.12,217.88,218.39
MSFT,2020-11-10,214.5,216.5,209.72,211.01
MSFT,2020-11-11,212.39,218.04,212.2,216.55
MSFT,2020-11-12,217.21,219.11,214.46,215.44
MSFT,2020-11-13,216.36,217.42,214.16,216.51
MSFT,2020-11-16,214.87,217.74,214.52,217.23
MSFT,2020-11-17,216.1,217.68,214.08,214.46
MSFT,2020-11-18,213.65,215.17,210.93,211.08
MSFT,2020-11-19,211.38,213.03,209.93,212.42
MSFT,2020-11-20,212.2,213.29,210,210.39
MSFT,2020-11-23,210.95,212.29,208.16,210.11
MSFT,2020-11-24,209.59,214.25,208.86,213.86
AMZN,2020-10-21,3212.5,3233.87,3160,3184.94
AMZN,2020-10-22,3189.87,3198.75,3121.94,3176.4
AMZN,2020-10-23,3191,3205.33,3140,3204.4
AMZN,2020-10-26,3198.74,3282.98,3153.3,3207.04
AMZN,2020-10-27,3224.94,3291.66,3211.3,3286.33
AMZN,2020-10-28,3249.3,3264.02,3162.47,3162.78
AMZN,2020-10-29,3201.27,3257.25,3164,3211.01
AMZN,2020-10-30,3157.75,3167,3019,3036.15
AMZN,2020-11-02,3061.74,3079.7,2950.12,3004.48
AMZN,2020-11-03,3018.53,3074.9,2980.98,3048.41
AMZN,2020-11-04,3159.99,3244.85,3139.73,3241.16
AMZN,2020-11-05,3319.97,3366.8,3288.88,3322
AMZN,2020-11-06,3304.64,3322,3232,3311.37
AMZN,2020-11-09,3231.03,3289,3112.11,3143.74
AMZN,2020-11-10,3095.02,3114,3019.48,3035.02
AMZN,2020-11-11,3061.78,3139.15,3050,3137.39
AMZN,2020-11-12,3159.95,3175.88,3086.05,3110.28
AMZN,2020-11-13,3122,3141.72,3085.39,3128.81
AMZN,2020-11-16,3093.2,3142.7,3072.68,3131.06
AMZN,2020-11-17,3183.54,3189.25,3135.26,3135.66
AMZN,2020-11-18,3134,3140,3105.1,3105.46
AMZN,2020-11-19,3105.31,3125,3080.92,3117.02
AMZN,2020-11-20,3117.02,3132.89,3098.05,3099.4
AMZN,2020-11-23,3116.7,3139.74,3065.46,3098.39
AMZN,2020-11-24,3100.5,3134.25,3086.26,3118.06
GOOG,2020-10-21,1573.33,1618.73,1571.63,1593.31
GOOG,2020-10-22,1593.05,1621.99,1585,1615.33
GOOG,2020-10-23,1626.07,1642.36,1620.51,1641
GOOG,2020-10-26,1625.01,1638.24,1576.5,1590.45
GOOG,2020-10-27,1595.67,1606.85,1582.78,1604.26
GOOG,2020-10-28,1559.74,1561.35,1514.62,1516.62
GOOG,2020-10-29,1522.36,1593.71,1522.24,1567.24
GOOG,2020-10-30,1672.11,1687,1604.46,1621.01
GOOG,2020-11-02,1628.16,1660.77,1616.03,1626.03
GOOG,2020-11-03,1631.78,1661.7,1616.62,1650.21
GOOG,2020-11-04,1710.28,1771.37,1706.03,1749.13
GOOG,2020-11-05,1781,1793.64,1750.51,1763.37
GOOG,2020-11-06,1753.95,1772.43,1740.35,1761.75
GOOG,2020-11-09,1790.9,1818.06,1760.02,1763
GOOG,2020-11-10,1731.09,1763,1717.3,1740.39
GOOG,2020-11-11,1750,1764.22,1747.37,1752.71
GOOG,2020-11-12,1747.63,1768.27,1745.6,1749.84
GOOG,2020-11-13,1757.63,1781.04,1744.55,1777.02
GOOG,2020-11-16,1771.7,1799.07,1767.69,1781.38
GOOG,2020-11-17,1776.94,1785,1767,1770.15
GOOG,2020-11-18,1765.23,1773.47,1746.14,1746.78
GOOG,2020-11-19,1738.38,1769.59,1737.01,1763.92
GOOG,2020-11-20,1765.21,1774,1741.86,1742.19
GOOG,2020-11-23,1749.6,1753.9,1717.72,1734.86
GOOG,2020-11-24,1730.5,1771.6,1727.69,1768.88
GOOGL,2020-10-21,1569.85,1615.14,1567.14,1585.99
GOOGL,2020-10-22,1585,1613.42,1577.48,1606.66
GOOGL,2020-10-23,1615.05,1634.12,1611.91,1632.98
GOOGL,2020-10-26,1615,1629.58,1567.78,1584.29
GOOGL,2020-10-27,1588.93,1602,1576.99,1598.88
GOOGL,2020-10-28,1550.01,1553.81,1508.48,1510.8
GOOGL,2020-10-29,1517.02,1588.74,1516.55,1556.88
GOOGL,2020-10-30,1667.44,1681.32,1601.57,1616.11
GOOGL,2020-11-02,1623.54,1658.24,1614.24,1624.32
GOOGL,2020-11-03,1630.76,1659,1612.11,1645.66
GOOGL,2020-11-04,1705.58,1770.03,1703,1745.85
GOOGL,2020-11-05,1770.45,1791.82,1741.03,1762.5
GOOGL,2020-11-06,1751.34,1768.49,1736.68,1759.73
GOOGL,2020-11-09,1795.98,1816.89,1757.55,1761.42
GOOGL,2020-11-10,1729.77,1759.38,1716.12,1737.72
GOOGL,2020-11-11,1748.4,1762.9,1743.06,1747.23
GOOGL,2020-11-12,1742,1764.98,1737.97,1742.82
GOOGL,2020-11-13,1748,1777.13,1735.98,1772.26
GOOGL,2020-11-16,1764.14,1794.34,1761.33,1774.03
GOOGL,2020-11-17,1767.86,1777.14,1759.49,1761.66
GOOGL,2020-11-18,1756.64,1765,1738.57,1740.64
GOOGL,2020-11-19,1733.23,1763.49,1730.02,1758.57
GOOGL,2020-11-20,1762,1768.36,1735,1736.38
GOOGL,2020-11-23,1740.22,1745.99,1710.18,1727.56
